ID,Name,Surname,Gender,Age,Height (cm),Weight (kg),Position,Years active,Speed (m/h),Team,Pre-selected,Salary
22,Leila,Lank,Female,31,1.54,80.738,Defender,2,10.033,Beruna,N,53963
23,Roselyn,Rexford,Female,24,1.62,80.399,Forward,3,8.95,Island of Ramandu,N,32198
24,Lulu,Lara,Female,17,1.65,57.534,Defender,3,11.658,Dark Island,N,33973
25,Renee,Reasoner,Female,34,1.91,50.795,Defender,3,11.081,Calormen,Y,44449
26,Fredericka,Forshey,Female,17,1.88,78.461,Defender,2,9.579,Bism,N,32977
27,Maisie,Moynihan,Female,30,1.76,71.686,Defender,2,11.854,Dark Island,N,73010
28,Karrie,Kato,Female,23,1.77,62.311,Forward,3,6.927,Island of Ramandu,N,25920
29,Romana,Rossman,Female,23,1.85,80.541,Midfielder,3,11.604,Calormen,N,60936
30,Yasuko,Yuan,Female,18,1.58,65.189,Forward,3,8.918,Calavar,Y,55290
31,Velda,Vizcarra,Female,34,1.79,65.264,Midfielder,3,11.97,Avra,Y,33803
32,Odilia,Overson,Female,22,1.75,54.903,Defender,3,9.44,Dark Island,N,60570
33,Ardith,Aquilino,Female,32,1.56,72.342,Midfielder,1,6.974,Calormen,Y,52748
34,Ladawn,Lederman,Female,27,1.87,63.576,Midfielder,3,10.371,Dark Island,Y,49426
35,Pearlie,Pentz,Female,22,1.62,57.633,Defender,3,6.832,Dragon Island,Y,50112
36,Jin,Janes,Female,27,1.85,61.454,Midfielder,1,9.382,Galma,Y,47306
37,Lela,Laman,Female,31,1.82,77.86,Defender,3,10.958,Galma,N,69862
38,Hortense,Howie,Female,31,1.52,47.405,Defender,1,9.085,Doorn,Y,28676
39,Freda,Feeley,Female,34,1.84,58.65,Midfielder,1,9.842,Calormen,Y,41022
40,Luvenia,Labombard,Female,29,1.61,51.165,Midfielder,2,11.059,Bism,N,63228
41,Iona,Inman,Female,27,1.95,55.747,Defender,1,8.707,Island of Ramandu,Y,60013
42,Nellie,Nakata,Female,26,1.8,70.554,Forward,1,10.831,Dark Island,Y,50215
43,Ebony,Ellison,Female,27,1.55,64.184,Forward,3,7.937,Calavar,Y,57798
44,Pamela,Padro,Female,30,1.99,70.313,Forward,1,7.175,Calavar,Y,74426
45,Rona,Rm,Female,19,1.6,63.121,Defender,3,8.556,Avra,N,61415
46,Nelle,Neal,Female,23,1.69,72.788,Defender,1,9.495,Bism,N,56669
47,Carlena,Creighton,Female,18,1.85,57.332,Midfielder,3,8.043,Bism,Y,57901
48,Victoria,Viera,Female,31,1.61,58.269,Midfielder,3,7.042,Island of Ramandu,Y,70913
49,Kacie,Krehbiel,Female,17,1.69,44.336,Defender,3,9.163,Dark Island,N,63777
50,Majorie,Mcglothin,Female,33,1.91,62.447,Forward,1,9.163,Calormen,Y,41245
51,Caridad,Cajigas,Female,34,1.96,44.235,Forward,2,8.591,Island of Ramandu,N,28947
52,Halina,Heldt,Female,19,1.95,66.761,Midfielder,3,6.825,Calormen,Y,72138
53,Shondra,Swiderski,Female,18,1.73,71.536,Forward,1,9.326,Avra,Y,73117
54,Kiera,Kuhn,Female,31,1.84,60.459,Defender,2,11.612,Beruna,Y,34094
55,Phyllis,Parfait,Female,32,1.66,57.886,Forward,3,10.074,Galma,N,71716
56,Moira,Mccreight,Female,35,1.72,46.364,Midfielder,3,11.183,Galma,Y,69225
57,Bethel,Bourbon,Female,19,1.78,55.591,Defender,2,9.366,Island of Ramandu,N,25182
58,Alayna,Alspaugh,Female,30,1.78,48.99,Midfielder,3,10.265,Dark Island,Y,53327
59,Tomoko,Tammaro,Female,27,1.84,74.21,Defender,3,9.565,Calormen,Y,64702
60,France,Fonner,Female,35,1.82,53.121,Midfielder,2,6.933,Island of Ramandu,N,56557
61,Tenesha,Trout,Female,22,1.55,55.243,Defender,3,7.278,Dragon Island,N,50017
62,Latanya,Leth,Female,24,1.51,56.621,Forward,1,7.203,Calormen,N,68837
63,Jayna,Jenkins,Female,18,1.6,63.25,Forward,3,11.321,Avra,Y,60840
64,France,Fonner,Female,35,1.82,53.121,Midfielder,2,6.933,Island of Ramandu,N,56557
65,Esther,Esposito,Female,30,1.6,68.945,Forward,2,10.561,Dragon Island,Y,53461
66,Fredda,Fertig,Female,34,1.97,46.047,Forward,2,8.628,Bism,Y,54247
67,Claudie,Crespin,Female,18,1.7,72.762,Midfielder,2,10.442,Calavar,N,32999
68,Darline,Dehoyos,Female,19,1.6,51.434,Forward,2,7.402,Dragon Island,Y,69470
69,Arlyne,Asbury,Female,30,1.81,75.569,Defender,2,7.17,Dragon Island,N,68793
70,Cinthia,Coburn,Female,29,1.9,79.703,Midfielder,1,10.945,Beruna,Y,57246
71,Su,Stokely,Female,27,1.6,72.685,Goalkeeper,3,10.926,Beruna,Y,52758
72,Melody,Maple,Female,18,1.6,59.782,Goalkeeper,1,6.854,Ettinsmoor,N,71450
73,Mamie,Mchenry,Female,19,1.75,67.583,Goalkeeper,3,10.269,Dark Island,N,25998
74,Cristi,Commodore,Female,18,1.64,63.272,Goalkeeper,3,9.796,Beruna,Y,58834
75,Karena,Koehler,Female,24,1.84,54.91,Defender,2,11.688,Galma,Y,58240
76,Cortney,Curlee,Female,19,1.89,57.452,Forward,1,6.054,Island of Ramandu,Y,49486
77,Danna,Done,Female,29,1.52,53.889,Forward,4,6.31,Galma,Y,30633
78,Robbyn,Radley,Female,18,1.79,43.76,Defender,2,7.544,Calavar,Y,43062
79,Joye,Jiang,Female,31,1.71,46.105,Defender,2,10.799,Galma,Y,31541
80,Claudie,Crespin,Female,18,1.7,72.762,Midfielder,2,10.442,Calavar,N,32999
81,Bong,Barrio,Female,20,1.8,63.576,Forward,2,10.19,Doorn,Y,42594
82,Claudie,Crespin,Female,18,1.7,72.762,Midfielder,2,10.442,Calavar,N,32999
83,Treva,Truehart,Female,18,1.78,47.511,Forward,3,6.406,Beruna,Y,65722
84,Sari,Staller,Female,29,1.87,45.397,Midfielder,2,10.451,Dark Island,Y,21356
85,Claudie,Crespin,Female,18,1.7,72.762,Midfielder,2,10.442,Calavar,N,32999
86,Miyoko,Mcclane,Female,29,1.91,58.949,Forward,2,6.743,Doorn,Y,74175
87,Hermina,Havlik,Female,18,1.6,55.124,Forward,3,6.908,Bism,Y,28214
88,Geneva,Gaillard,Female,21,1.62,61.021,Goalkeeper,3,7.086,Calormen,Y,37778
89,Isobel,Iskra,Female,28,1.51,45.135,Forward,2,11.837,Beruna,Y,66243
90,Melinda,Mangione,Female,17,1.65,67.799,Forward,2,10.482,Dark Island,Y,32888
91,Sheridan,Stanhope,Female,18,1.63,72.932,Forward,1,10.521,Galma,N,62272
92,Nellie,Nakata,Female,26,1.8,70.554,Forward,1,10.831,Dark Island,Y,50215
93,Cari,Cheatwood,Female,19,1.72,67.866,Defender,3,9.063,Doorn,Y,72577
94,Tameika,Tejada,Female,25,1.87,56.484,Defender,1,9.489,Beruna,Y,43172
95,Seymour,Sontag,Male,29,1.89,45.018,Midfielder,1,11.628,Bism,N,61465
96,Brandon,Barak,Male,27,1.8,65.288,Midfielder,3,8.605,Dark Island,Y,73117
97,Sal,Sperry,Male,23,1.97,44.494,Forward,2,7.663,Ettinsmoor,N,46136
98,Dave,Dively,Male,33,1.94,45.839,Goalkeeper,1,7.093,Ettinsmoor,N,48342
99,Curt,Cambridge,Male,25,1.92,71.281,Forward,2,7.288,Dark Island,Y,60070
100,Jeremiah,Justus,Male,33,1.96,51.854,Goalkeeper,3,10.005,Calavar,N,45932
101,Armando,Authement,Male,34,1.72,65.631,Forward,3,6.141,Beruna,N,51301
102,Clarence,Commander,Male,19,1.69,50.753,Forward,2,11.574,Avra,N,44776
103,Henry,Hanrahan,Male,26,1.87,52.246,Forward,3,8.902,Galma,N,70274
104,Enrique,Edgington,Male,20,1.72,59.128,Midfielder,2,9.621,Calormen,Y,55468
105,Ricardo,Ridinger,Male,21,1.88,53.613,Defender,4,7.224,Calormen,Y,31977
106,German,Gothard,Male,22,1.67,55.391,Goalkeeper,1,6.403,Dark Island,N,63510
107,Adolph,Acebedo,Male,34,1.66,46.602,Goalkeeper,2,8.633,Calavar,Y,41439
108,Thaddeus,Tibbits,Male,17,1.87,72.029,Midfielder,1,9.614,Bism,N,56731
109,Bo,Brawner,Male,21,1.72,47.366,Midfielder,2,11.777,Galma,Y,72895
110,Hiram,Hain,Male,25,1.72,74.692,Forward,3,11.034,Galma,Y,73245
111,Hubert,Hartgrove,Male,28,1.98,70.813,Midfielder,3,11.843,Island of Ramandu,N,25529
112,Russell,Romain,Male,27,1.97,57.988,Goalkeeper,4,10.346,Dragon Island,N,37143
113,Andre,Ammerman,Male,27,1.55,56.092,Forward,3,10.825,Calavar,Y,59374
114,Orval,Oertel,Male,27,1.75,51.055,Midfielder,3,6.753,Calormen,Y,47088
115,Antone,Aubuchon,Male,18,1.89,56.521,Goalkeeper,4,10,Bism,N,59908
116,Darrin,Delorey,Male,21,1.8,51.055,Goalkeeper,4,10.056,Dark Island,N,62782
117,Jamel,Johns,Male,24,1.81,67.955,Midfielder,3,9.27,Calormen,N,55372
118,Son,Shakespeare,Male,17,1.96,80.357,Forward,2,6.122,Dragon Island,N,35016
119,Cameron,Chou,Male,20,1.94,58.013,Defender,1,10.949,Calavar,Y,43250
120,Connie,Corella,Male,20,1.62,44.964,Midfielder,2,6.748,Island of Ramandu,Y,58332
121,Dewitt,Deloney,Male,24,1.85,75.103,Goalkeeper,3,8.085,Calavar,N,73497
122,Hoyt,Harrold,Male,33,1.61,60.701,Forward,2,10.621,Doorn,N,35815
123,Elmer,Edlund,Male,35,1.61,58.563,Midfielder,1,8.757,Doorn,N,49174
124,Dante,Donaghy,Male,22,1.94,57.905,Forward,1,6.217,Bism,N,60744
125,Otis,Okeefe,Male,23,1.97,70.55,Defender,1,10.622,Dragon Island,N,68483
126,Lorenzo,Leeman,Male,18,1.81,74.539,Midfielder,3,11.663,Ettinsmoor,Y,74629
127,Chauncey,Cuffie,Male,33,1.96,55.399,Forward,2,8.746,Dragon Island,Y,74228
128,Clarence,Commander,Male,19,1.69,50.753,Forward,2,11.574,Avra,N,44776
129,Dirk,Decamp,Male,18,1.95,79.168,Midfielder,3,8.188,Dragon Island,Y,52471
130,Cletus,Carino,Male,30,1.58,75.009,Defender,2,11.96,Galma,Y,28051
131,Devon,Dwyer,Male,26,1.71,59.129,Goalkeeper,3,6.307,Bism,N,65773
132,Luis,Loose,Male,31,1.58,52.586,Goalkeeper,1,8.467,Dragon Island,N,25692
133,Chester,Clyne,Male,28,1.96,71.318,Forward,1,10.527,Doorn,N,66707
134,Chuck,Calahan,Male,40,1.79,60.41,Goalkeeper,1,8.418,Dragon Island,N,63205
135,Dirk,Decamp,Male,18,1.95,79.168,Midfielder,3,8.188,Dragon Island,N,52471
136,Sammy,Surface,Male,24,1.61,70.331,Goalkeeper,1,10.316,Avra,N,70560
137,Elroy,Essex,Male,32,1.94,79.079,Forward,1,10.168,Avra,Y,68775
138,Monte,Morter,Male,22,1.73,55.123,Forward,2,8.411,Bism,N,38902
139,Stewart,Scaglione,Male,24,1.73,73.769,Midfielder,2,10.464,Bism,Y,69790
140,Donnell,Dade,Male,25,1.5,43.411,Goalkeeper,3,11.865,Beruna,Y,32249
141,Lamont,Lager,Male,35,1.74,62.48,Goalkeeper,2,8.943,Galma,Y,37874
142,Anthony,Afanador,Male,29,1.84,76.87,Forward,2,11.086,Galma,N,26054
143,Elroy,Essex,Male,32,1.94,79.079,Forward,1,10.168,Avra,Y,68775
144,Johnnie,Julian,Male,20,1.94,60.265,Forward,3,6.762,Dark Island,Y,43483
145,Scot,Shugart,Male,21,1.89,44.017,Midfielder,1,9.682,Dark Island,N,28812
146,Mose,Molinar,Male,35,1.72,64.423,Defender,3,8.767,Galma,N,67861
147,Adan,Abraham,Male,23,1.88,58.786,Goalkeeper,2,10.317,Beruna,N,73618
148,Mel,Maize,Male,17,1.77,49.716,Goalkeeper,1,6.889,Bism,Y,28620
149,Chong,Chupp,Male,29,1.73,59.485,Goalkeeper,3,6.518,Bism,Y,46108
150,Jarod,Jakubowski,Male,18,1.53,80.791,Forward,2,6.404,Doorn,Y,56145
151,Chauncey,Cuffie,Male,33,1.96,55.399,Forward,2,8.746,Dragon Island,Y,74228
152,Brock,Battles,Male,31,1.63,56.582,Defender,1,7.968,Galma,N,44434
153,Robin,Rollison,Male,25,1.65,64.84,Defender,3,10.132,Doorn,Y,84242
154,Efren,Eames,Male,26,1.84,54.506,Goalkeeper,3,6.512,Calavar,N,72875
155,Sal,Spencer,Male,29,1.79,46.814,Midfielder,3,9.572,Doorn,N,47695
156,Elroy,Essex,Male,32,1.94,79.079,Forward,1,10.168,Avra,Y,68775
157,Herman,Holler,Male,23,1.83,55.163,Defender,1,8.489,Calavar,N,42753
158,Olin,Ownbey,Male,22,1.98,70.966,Forward,2,7.187,Island of Ramandu,N,65987
159,Merle,Milone,Male,34,1.71,48.143,Goalkeeper,3,10.788,Calavar,N,50457
160,Dana,Donadio,Male,24,1.99,58.487,Defender,3,9.399,Beruna,Y,56599
161,Zachery,Zynda,Male,28,1.77,67.031,Forward,3,11.57,Avra,Y,25185
162,Francesco,Fallon,Male,20,1.69,59.736,Defender,1,7.512,Ettinsmoor,Y,43382
163,Louie,Lang,Male,31,1.75,73.792,Defender,3,7.25,Beruna,N,47695
164,Arnoldo,Ashley,Male,32,1.72,61.141,Midfielder,2,11.038,Dragon Island,Y,51346
165,Dino,Devault,Male,21,1.72,78.206,Forward,2,6.275,Doorn,N,59815
166,Johnson,Jalbert,Male,22,1.83,46.121,Goalkeeper,2,6.592,Bism,Y,50856
167,Adrian,Abasta,Male,19,1.88,59.306,Goalkeeper,3,9.691,Doorn,N,57235
168,Milan,Mansell,Male,31,1.88,79.911,Forward,2,11.978,Galma,Y,27934
169,Milo,Marston,Male,17,1.81,50.934,Midfielder,3,7.5,Galma,Y,73345
170,Charles,Coard,Male,32,1.67,70.385,Goalkeeper,1,10.118,Galma,N,45507
171,Craig,Cipriano,Male,34,1.66,77.784,Midfielder,3,8.545,Island of Ramandu,Y,57562
172,Donnell,Dunbar,Male,35,1.55,51.487,Goalkeeper,1,11.927,Doorn,N,40168
173,Elvis,Ester,Male,20,1.57,51.055,Forward,1,8.222,Ettinsmoor,N,32602
174,Micah,Mcdole,Male,29,1.74,44.053,Forward,3,8.532,Dragon Island,N,72920
175,Isidro,Italiano,Male,26,1.67,74.091,Midfielder,2,9.553,Island of Ramandu,N,61476
176,Dorsey,Daley,Male,17,2,76.118,Forward,2,6.192,Beruna,N,58786
177,Scottie,Scranton,Male,24,1.73,71.25,Midfielder,3,9.885,Beruna,Y,48733
178,Stevie,Sleeth,Male,34,1.6,49.524,Goalkeeper,4,6.011,Galma,Y,19900
179,Chang,Coger,Male,31,1.54,44.674,Goalkeeper,4,8.835,Avra,Y,67058
180,George,Gammon,Male,24,1.8,64.675,Midfielder,3,7.111,Calormen,N,63310
